,Year,Cluster,Size,Features
0,2014,0.0,3429.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'developers', 'image credit']"
1,2014,1.0,23327.0,"['data', 'users', 'companies', 'apple', 'google', 'service', 'people', 'app', 'business', 'technology']"
2,2014,0.0,3323.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'developers', 'gamesbeat']"
3,2014,1.0,16146.0,"['apple', 'users', 'google', 'app', 'people', 'service', 'facebook', 'phone', 'devices', 'video']"
4,2014,2.0,7287.0,"['data', 'companies', 'capital', 'funding', 'business', 'round', 'customers', 'investors', 'ventures', 'software']"
5,2014,0.0,15580.0,"['users', 'google', 'app', 'people', 'service', 'facebook', 'phone', 'video', 'way', 'music']"
6,2014,1.0,6724.0,"['data', 'companies', 'capital', 'funding', 'round', 'business', 'customers', 'investors', 'ventures', 'software']"
7,2014,2.0,3301.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'developers', 'gamesbeat']"
8,2014,3.0,1151.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'beats', 'ipad', 'watch']"
9,2014,0.0,1118.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'beats', 'ipad', 'watch']"
10,2014,1.0,3278.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'developers', 'gamesbeat']"
11,2014,2.0,4079.0,"['capital', 'funding', 'round', 'companies', 'investors', 'ventures', 'venture', 'startup', 'startups', 'investment']"
12,2014,3.0,2756.0,"['data', 'cloud', 'health', 'companies', 'customers', 'security', 'software', 'business', 'marketing', 'information']"
13,2014,4.0,15525.0,"['users', 'google', 'app', 'people', 'service', 'facebook', 'phone', 'video', 'way', 'devices']"
14,2014,0.0,1112.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'beats', 'ipad', 'watch']"
15,2014,1.0,1065.0,"['ad', 'ads', 'revenue', 'quarter', 'facebook', 'advertising', 'twitter', 'percent', 'advertisers', 'earnings']"
16,2014,2.0,2712.0,"['data', 'cloud', 'health', 'companies', 'security', 'customers', 'software', 'information', 'business', 'services']"
17,2014,3.0,14583.0,"['users', 'google', 'app', 'people', 'service', 'phone', 'way', 'video', 'facebook', 'music']"
18,2014,4.0,4086.0,"['capital', 'funding', 'round', 'companies', 'investors', 'ventures', 'venture', 'investment', 'startup', 'startups']"
19,2014,5.0,3198.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'gamesbeat', 'image credit']"
20,2014,0.0,436.0,"['music', 'gillmor', 'gang', 'gillmor gang', 'spotify', 'service', 'beats', 'music service', 'songs', 'gillmor recording']"
21,2014,1.0,3183.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'gamesbeat', 'image credit']"
22,2014,2.0,3668.0,"['capital', 'funding', 'round', 'companies', 'investors', 'ventures', 'venture', 'investment', 'startup', 'startups']"
23,2014,3.0,1442.0,"['facebook', 'ad', 'ads', 'twitter', 'users', 'revenue', 'advertising', 'quarter', 'advertisers', 'percent']"
24,2014,4.0,14603.0,"['google', 'users', 'app', 'people', 'service', 'phone', 'way', 'devices', 'video', 'technology']"
25,2014,5.0,2339.0,"['data', 'health', 'cloud', 'companies', 'customers', 'software', 'security', 'marketing', 'information', 'business']"
26,2014,6.0,1085.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'ipad', 'watch', 'patent']"
27,2014,0.0,3161.0,"['game', 'games', 'players', 'playstation', 'xbox', 'play', 'gamers', 'pc', 'gamesbeat', 'image credit']"
28,2014,1.0,13654.0,"['users', 'people', 'app', 'service', 'way', 'video', 'technology', 'companies', 'business', 'product']"
29,2014,2.0,3152.0,"['capital', 'funding', 'round', 'investors', 'companies', 'ventures', 'venture', 'investment', 'fund', 'partners']"
30,2014,3.0,1010.0,"['ad', 'facebook', 'ads', 'advertising', 'users', 'advertisers', 'twitter', 'revenue', 'people', 'network']"
31,2014,4.0,1737.0,"['google', 'windows', 'phone', 'glass', 'search', 'users', 'devices', 'android', 'apps', 'device']"
32,2014,5.0,1074.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'ipad', 'patent', 'watch']"
33,2014,6.0,2543.0,"['data', 'health', 'cloud', 'companies', 'customers', 'security', 'software', 'marketing', 'business', 'information']"
34,2014,7.0,425.0,"['music', 'spotify', 'service', 'beats', 'music service', 'songs', 'itunes', 'artists', 'apple', 'radio']"
35,2014,0.0,428.0,"['music', 'spotify', 'service', 'beats', 'music service', 'songs', 'itunes', 'artists', 'radio', 'apple']"
36,2014,1.0,2404.0,"['data', 'health', 'companies', 'cloud', 'security', 'customers', 'software', 'marketing', 'information', 'business']"
37,2014,2.0,1040.0,"['apple', 'iphone', 'ios', 'devices', 'device', 'cook', 'apple pay', 'ipad', 'watch', 'patent']"
38,2014,3.0,724.0,"['ad', 'ads', 'advertising', 'facebook', 'advertisers', 'users', 'twitter', 'revenue', 'publishers', 'video']"
39,2014,4.0,94.0,"['gillmor', 'gang', 'gillmor gang', 'gillmor recording', 'recording session', 'recording', 'marks gillmor', 'teare', 'marks', 'keith teare']"
40,2014,5.0,12868.0,"['users', 'google', 'app', 'people', 'phone', 'facebook', 'devices', 'way', 'technology', 'device']"
