,Year,Model,Cluster,Features
103,2007,NMF,3.0,mobile phone phones service wireless verizon nokia sprint services handsets
104,2007,NMF,4.0,iphone apple ipod itunes store mac jobs touch steve phone
105,2007,NMF,5.0,google search yahoo microsoft results maps ads youtube engine advertising
106,2007,LDA,0.0,company million companies venture capital year said investors new partners
107,2007,LDA,1.0,like don time ll people know make good want really
108,2007,LDA,2.0,google site company facebook users web search social million new
109,2007,LDA,3.0,mobile phone iphone service phones wireless new network device users
110,2007,LDA,4.0,video game games tv microsoft content youtube new play sony
111,2007,LDA,5.0,music apple ipod like new digital itunes ll audio player
112,2007,NMF,0.0,like ll don new know time good ipod really make
113,2007,NMF,1.0,million company raised round capital ventures partners venture funding investors
114,2007,NMF,2.0,facebook users site social web service sites people myspace network
115,2007,NMF,3.0,mobile phone phones service wireless verizon nokia services sprint handsets
116,2007,NMF,4.0,iphone apple ipod itunes store mac jobs touch steve phone
117,2007,NMF,5.0,google search yahoo microsoft results maps ads engine advertising youtube
118,2007,NMF,6.0,video youtube videos tv content game games media watch player
119,2007,LDA,0.0,company million companies capital venture raised round funding ventures partners
120,2007,LDA,1.0,like don time ll people know make good want think
121,2007,LDA,2.0,google site users facebook web search social sites new service
122,2007,LDA,3.0,iphone music apple itunes free like new mac windows download
123,2007,LDA,4.0,game video games tv microsoft play sony hd dvd new
124,2007,LDA,5.0,like ipod new camera features screen ll digital inch device
125,2007,LDA,6.0,mobile phone service phones wireless network services access verizon calls
126,2007,NMF,0.0,like ll don new know ipod time music good make
127,2007,NMF,1.0,million company raised round capital ventures partners venture funding investors
128,2007,NMF,2.0,facebook users site social web service sites people myspace network
129,2007,NMF,3.0,mobile phone phones service wireless verizon services nokia handsets sprint
130,2007,NMF,4.0,iphone apple ipod itunes store mac jobs touch steve phone
131,2007,NMF,5.0,google search yahoo microsoft results maps ads engine advertising youtube
132,2007,NMF,6.0,video youtube videos tv content media music watch sites player
133,2007,NMF,7.0,game games wii nintendo xbox play gaming halo sony playing
134,2007,LDA,0.0,company million capital venture raised round companies partners funding ventures
135,2007,LDA,1.0,people time new like companies years year technology percent calif
136,2007,LDA,2.0,google facebook users site web search social sites new online
137,2007,LDA,3.0,iphone apple like ll new know don windows mac going
138,2007,LDA,4.0,game games microsoft sony hd play dvd gaming virtual xbox
139,2007,LDA,5.0,like ll ipod don good use new product make time
140,2007,LDA,6.0,mobile phone service phones wireless network devices calls verizon services
141,2007,LDA,7.0,video music content tv videos youtube media like free site
142,2007,NMF,0.0,like ll don new know ipod time music good make
143,2007,NMF,1.0,million company raised round capital ventures partners venture funding investors
144,2007,NMF,2.0,facebook users site social web service sites people myspace network
145,2007,NMF,3.0,mobile phone phones service wireless verizon services nokia handsets sprint
146,2007,NMF,4.0,iphone apple ipod itunes store mac jobs touch steve phone
147,2007,NMF,5.0,google search yahoo microsoft results maps ads engine advertising youtube
148,2007,NMF,6.0,video youtube videos tv content media music watch sites player
149,2007,NMF,7.0,game games wii nintendo xbox play gaming halo sony playing
150,2007,NMF,8.0,story venturebeat life daily calif today david biotech medical posted
151,2007,LDA,0.0,company million companies capital venture raised round partners funding ventures
152,2007,LDA,1.0,like time don people make know ll good want way
153,2007,LDA,2.0,google facebook users site web search social sites new company
154,2007,LDA,3.0,iphone apple ll like new comments know touch going email
155,2007,LDA,4.0,game games play sony gaming hd virtual dvd world xbox
156,2007,LDA,5.0,ipod like camera inch new features digital device screen music
157,2007,LDA,6.0,mobile phone service phones wireless devices device verizon network calls
158,2007,LDA,7.0,video music content tv videos youtube site media service like
159,2007,LDA,8.0,microsoft software windows pc desktop vista computer open intel version
160,2007,NMF,0.0,like ll don know new time good make really want
161,2007,NMF,1.0,million company raised round capital ventures partners venture funding investors
162,2007,NMF,2.0,facebook users site social web sites service people myspace network
163,2007,NMF,3.0,mobile phone phones service wireless verizon nokia services handsets sprint
164,2007,NMF,4.0,iphone apple ipod store mac jobs touch itunes steve phone
165,2007,NMF,5.0,google search yahoo microsoft results maps ads engine advertising youtube
166,2007,NMF,6.0,video youtube videos tv content media watch sites site player
167,2007,NMF,7.0,game games wii nintendo xbox play gaming sony halo playing
168,2007,NMF,8.0,story venturebeat life daily calif today david biotech medical posted
169,2007,NMF,9.0,music itunes ipod drm songs free player song apple radio
170,2007,LDA,0.0,service people free email business pay uk blog comments year
171,2007,LDA,1.0,like don time know ll make good really want people
172,2007,LDA,2.0,company million companies capital venture raised round partners funding ventures
173,2007,LDA,3.0,iphone apple itunes new touch ipod store jobs like mac
174,2007,LDA,4.0,game games drug life drugs virtual play gaming world new
175,2007,LDA,5.0,music ipod player like digital audio new radio sound songs
176,2007,LDA,6.0,mobile phone phones wireless service device devices calls network verizon
177,2007,LDA,7.0,users site facebook web social video sites new content like
178,2007,LDA,8.0,tv video windows camera vista pc software intel new fi
179,2007,LDA,9.0,google microsoft yahoo sony dvd hd reader ray blu news
180,2008,NMF,0.0,game like ll video games don time new know good
181,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
182,2008,NMF,2.0,facebook site users social twitter service web sites network myspace
183,2008,NMF,3.0,iphone apple mobile app phone store device ipod android apps
184,2008,NMF,4.0,google yahoo search microsoft deal results percent advertising ads engine
185,2008,LDA,0.0,company million companies year percent new round business venture funding
186,2008,LDA,1.0,site users facebook social google like web twitter search sites
187,2008,LDA,2.0,mobile iphone phone app music applications apple service software new
188,2008,LDA,3.0,game games video new sony play xbox digital world chip
189,2008,LDA,4.0,like people time ll don apple good going new know
190,2008,NMF,0.0,like ll don new know video little time good really
191,2008,NMF,1.0,million company round funding raised capital ventures venture partners investors
192,2008,NMF,2.0,facebook site users social twitter service web sites network myspace
193,2008,NMF,3.0,iphone apple mobile app store phone device ipod apps android
194,2008,NMF,4.0,google yahoo search microsoft deal results percent advertising ads engine
